,T_w,W name,ID_w,Gas Name,Gas Gauge,OD_gas,ID_gas,LBE Name,OD_Pb,ID_Pb,GasGap,T1,T2,A_Pb,A_water,Dc,Dh_w,W_velocity,LBE mass flow,0,0
2113,0.0010033000000000004,T-1.125,0.0210566,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,6.320719765010102e-05,0.0174138,0.0020066000000000007,37.84924164572311,1.5742139255015641,724.319011383356,192.18277367285916
2124,0.0013588999999999997,T-1.125,0.0217678,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,8.712784432333565e-05,0.0174138,0.0027177999999999994,27.457863972044912,1.5742139255015641,722.5619901242717,192.18277367285916
2135,0.001714499999999999,T-1.125,0.022479,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00011184300832379511,0.0174138,0.003428999999999998,21.39020161798235,1.5742139255015641,720.7670022773809,192.18277367285916
2146,0.0019939,T-1.125,0.0230378,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00013181944397973495,0.0174138,0.0039878,18.148646553049026,1.5742139255015641,719.3305816617083,192.18277367285916
2157,0.002349499999999999,T-1.125,0.023749,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00015795338892166742,0.0174138,0.004698999999999998,15.14588901156196,1.5742139255015641,717.4699386961194,192.18277367285916
2168,0.0026543,T-1.125,0.0243586,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.0001809862840915234,0.0174138,0.0053086,13.218374583556095,1.5742139255015641,715.8467566360547,192.18277367285916
2179,0.002933699999999999,T-1.125,0.0249174,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00020261255929940444,0.0174138,0.005867399999999998,11.807483730919378,1.5742139255015641,714.3363400098782,192.18277367285916
2190,0.0031114999999999997,T-1.125,0.025273,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00021663011500115768,0.0174138,0.006222999999999999,11.043453019423781,1.5742139255015641,713.3641557121838,192.18277367285916
2201,0.0032893,T-1.125,0.0256286,T-0.75,22,0.01905,0.0176276,P-0.375,0.0172,0.01388,0.0002138000000000001,0.00166,0.0007112000000000004,0.00015131041193043737,0.00023084630003471714,0.0174138,0.0065786,10.363365136230769,1.5742139255015641,712.3835342368271,192.18277367285916
2202,0.0001143000000000012,T-1.125,0.0256286,T-1,15,0.0254,0.0217424,P-0.5,0.0213,0.01708,0.00022119999999999952,0.002109999999999999,0.0018288000000000002,0.0002291213787745494,9.161777929561928e-06,0.021521199999999997,0.0002286000000000024,261.12229700398836,2.3837491451866115,656.0254092688698,192.0377228063898
